timestamp,plot_id,temperature,humidity,moisture,source
7/20/2025,1,24.92,58.95,40.18,synthetic_baseline
7/23/2025,2,24.57,73.82,36.25,synthetic_baseline
7/3/2025,3,22.63,57.16,33.79,synthetic_baseline
12/24/2024,1,21.26,72.29,34.09,synthetic_baseline
7/14/2025,2,25.29,65.42,31.13,synthetic_baseline
10/10/2025,3,22.51,58.81,34.93,synthetic_baseline
5/31/2025,1,20.23,72.38,40.66,synthetic_baseline
10/26/2025,2,22.12,73.55,32.38,synthetic_baseline
2/20/2025,3,23.04,72.42,30.82,synthetic_baseline
9/12/2025,1,23.96,70.04,36.09,synthetic_baseline
11/12/2025,2,21.18,71.3,30.02,synthetic_baseline
3/10/2025,3,25.97,59.96,30.29,synthetic_baseline
10/6/2025,1,25.21,60.54,31.08,synthetic_baseline
9/28/2025,2,20.3,55.64,32.67,synthetic_baseline
3/28/2025,3,20.35,63.5,43.39,synthetic_baseline
3/21/2025,1,21.61,56.43,40.66,synthetic_baseline
2/5/2025,2,22.93,67.73,31.55,synthetic_baseline
6/4/2025,3,21.27,55.84,35.51,synthetic_baseline
10/25/2025,1,23.62,60.96,41.91,synthetic_baseline
12/6/2025,2,25.94,74.62,43.67,synthetic_baseline
5/14/2025,3,23.36,57.84,41.45,synthetic_baseline
8/4/2025,1,25.77,59.81,43.76,synthetic_baseline
7/10/2025,2,22.17,58.45,30.6,synthetic_baseline
4/28/2025,3,24.34,73.55,44.13,synthetic_baseline
6/28/2025,1,25.59,71.03,31.35,synthetic_baseline
3/30/2025,2,20.4,74.12,42.2,synthetic_baseline
12/5/2025,3,22.22,57.77,34.88,synthetic_baseline
7/26/2025,1,23.59,58.87,44.54,synthetic_baseline
11/23/2025,2,21.66,62.7,43.16,synthetic_baseline
3/27/2025,3,24.74,69.66,35.48,synthetic_baseline
12/1/2025,1,24.34,71.76,32.96,synthetic_baseline
10/20/2025,2,20.66,58.99,41.56,synthetic_baseline
1/16/2025,3,25.51,66.17,38.74,synthetic_baseline
8/3/2025,1,20.31,61.13,35.43,synthetic_baseline
